sim result, 0
total time, 2099.406250
total energy, 73895.875000
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE,TmotorCase,Twindings
2,71.000000,-0.001414,0.067805,5.193113,13.156255,-1.151350,2.491781,3.929519,5.335089,7.821166,0.089898,0.192242,14.785311,25.176600,27.209890
2,72.000000,-0.001426,0.066450,5.210395,13.171373,-1.161246,2.393499,3.874330,5.171721,7.999652,0.091950,0.191601,14.799395,25.179636,27.226425
2,73.000000,-0.001438,0.065096,5.228013,13.186783,-1.171142,2.299784,3.817719,5.011499,8.175283,0.093969,0.190949,14.813471,25.182682,27.242937
2,74.000000,-0.001450,0.063741,5.245956,13.202479,-1.181038,2.210486,3.759716,4.854301,8.348178,0.095956,0.190292,14.828006,25.185736,27.259428
2,75.000000,-0.001463,0.062386,5.264216,13.218452,-1.190935,2.125460,3.700346,4.700010,8.518442,0.097913,0.189627,14.842688,25.188799,27.275898
2,76.000000,-0.001475,0.061031,5.282783,13.234691,-1.200831,2.044568,3.639630,4.548506,8.686185,0.099841,0.188957,14.857814,25.191870,27.292349
2,77.000000,-0.001487,0.059676,5.301649,13.251194,-1.210727,1.967675,3.577619,4.399705,8.851488,0.101741,0.188279,14.873006,25.194948,27.308781
2,78.000000,-0.001499,0.058322,5.320804,13.267950,-1.220623,1.894648,3.514339,4.253503,9.014447,0.103614,0.187600,14.888817,25.198034,27.325193
2,79.000000,-0.001511,0.056967,5.340242,13.284953,-1.230519,1.825361,3.449848,4.109828,9.175125,0.105461,0.186912,14.904529,25.201128,27.341587
2,80.000000,-0.001523,0.055612,5.359954,13.302197,-1.240416,1.759688,3.384197,3.968608,9.333589,0.107283,0.186222,14.920651,25.204227,27.357962
2,81.000000,-0.001538,0.053980,5.379933,13.319672,-1.252469,1.682610,3.296602,3.791882,9.527790,0.109515,0.185526,14.936931,25.207335,27.374319
2,82.000000,-0.001553,0.052347,5.400251,13.337443,-1.264522,1.610614,3.208013,3.619243,9.718201,0.111703,0.184824,14.953484,25.210447,27.390659
2,83.000000,-0.001568,0.050715,5.420897,13.355502,-1.276575,1.543480,3.118523,3.450566,9.904936,0.113850,0.184116,14.970259,25.213566,27.406982
2,84.000000,-0.001583,0.049083,5.441858,13.373838,-1.288629,1.480992,3.028276,3.285778,10.088060,0.115955,0.183401,14.987290,25.216690,27.423288
2,85.000000,-0.001597,0.047450,5.463125,13.392440,-1.300682,1.422943,2.937415,3.124814,10.267626,0.118019,0.182685,15.004815,25.219820,27.439579
2,86.000000,-0.001612,0.045818,5.484685,13.411300,-1.312735,1.369130,2.846099,2.967633,10.443666,0.120042,0.181962,15.022367,25.222956,27.455854
2,87.000000,-0.001627,0.044185,5.506528,13.430406,-1.324788,1.319357,2.754488,2.814196,10.616210,0.122025,0.181239,15.040433,25.226097,27.472115
2,88.000000,-0.001642,0.042553,5.528644,13.449752,-1.336842,1.273434,2.662767,2.664497,10.785254,0.123968,0.180511,15.058604,25.229242,27.488361
2,89.000000,-0.001657,0.040921,5.551021,13.469324,-1.348895,1.231174,2.571100,2.518518,10.950806,0.125871,0.179781,15.077077,25.232393,27.504593
2,90.000000,-0.001671,0.039288,5.573650,13.489121,-1.360948,1.192400,2.479692,2.376282,11.112839,0.127734,0.179049,15.095781,25.235548,27.520811
2,91.000000,-0.001693,0.038146,5.596521,13.509125,-1.378607,1.170116,2.423132,2.279779,11.229345,0.129073,0.178317,15.114809,25.238707,27.537018
2,92.000000,-0.001715,0.037003,5.619537,13.529258,-1.396265,1.149279,2.366298,2.184449,11.344809,0.130400,0.177584,15.133881,25.241871,27.553211
2,93.000000,-0.001737,0.035860,5.642694,13.549514,-1.413924,1.129843,2.309256,2.090313,11.459200,0.131715,0.176857,15.153348,25.245039,27.569391
2,94.000000,-0.001758,0.034718,5.665989,13.569890,-1.431583,1.111765,2.252096,1.997416,11.572474,0.133017,0.176128,15.172665,25.248211,27.585560
2,95.000000,-0.001780,0.033575,5.689417,13.590383,-1.449241,1.094998,2.194899,1.905794,11.684589,0.134306,0.175402,15.192251,25.251387,27.601717
