sim result, 0
total time, 121.207184
total energy, 7184.387695
map,x,slope,radius,vi,ft,fslope,faero,ftyres,fres,ftot,a,dt,dE
0,69.000000,-0.001392,0.069552,6.030512,0.000000,-1.133316,3.570431,6.432933,8.935186,-8.935186,-0.102703,0.166057,0.000000
0,70.000000,-0.001402,0.069160,6.013458,0.000000,-1.141455,3.502123,6.328496,8.754303,-8.754303,-0.100624,0.166525,0.000000
0,71.000000,-0.001414,0.067805,5.996701,0.000000,-1.151351,3.322609,6.114956,8.351353,-8.351353,-0.095993,0.166982,0.000000
0,72.000000,-0.001426,0.066450,5.980672,0.000000,-1.161247,3.153494,5.906782,7.964167,-7.964167,-0.091542,0.167420,0.000000
1,73.000000,-0.001438,0.065096,5.965346,17.336994,-1.171143,2.994229,5.703845,7.592069,9.744925,0.112011,0.167373,89.374947
1,74.000000,-0.001450,0.063741,5.984094,17.370764,-1.181040,2.876306,5.604321,7.364726,10.006038,0.115012,0.166840,19.407833
1,75.000000,-0.001463,0.062386,6.003282,17.405325,-1.190936,2.764160,5.503005,7.141367,10.263958,0.117977,0.166304,19.442104
1,76.000000,-0.001475,0.061031,6.022902,17.440664,-1.200832,2.657588,5.399903,6.921798,10.518867,0.120907,0.165758,19.477013
1,77.000000,-0.001487,0.059676,6.042943,17.476763,-1.210728,2.556398,5.295075,6.705884,10.770879,0.123803,0.165203,19.512604
1,78.000000,-0.001499,0.058322,6.063396,17.513601,-1.220624,2.460401,5.188566,6.493481,11.020121,0.126668,0.164643,19.549261
1,79.000000,-0.001511,0.056967,6.084250,17.551165,-1.230520,2.369414,5.080425,6.284457,11.266707,0.129502,0.164074,19.586353
1,80.000000,-0.001523,0.055612,6.105498,17.589437,-1.240417,2.283262,4.970725,6.078710,11.510728,0.132307,0.163498,19.624113
1,81.000000,-0.001538,0.053980,6.127130,17.628399,-1.252470,2.182448,4.825673,5.820789,11.807610,0.135720,0.162914,19.662334
1,82.000000,-0.001553,0.052347,6.149240,17.668224,-1.264523,2.088366,4.679291,5.568272,12.099953,0.139080,0.162325,19.701910
1,83.000000,-0.001568,0.050715,6.171817,17.708891,-1.276576,2.000713,4.531757,5.321032,12.387859,0.142389,0.161726,19.742085
1,84.000000,-0.001583,0.049083,6.194845,17.750368,-1.288630,1.919195,4.383269,5.078973,12.671395,0.145648,0.161121,19.783241
1,85.000000,-0.001597,0.047450,6.218312,17.792635,-1.300683,1.843530,4.234026,4.842011,12.950624,0.148858,0.160506,19.824768
4,86.000000,-0.001612,0.045818,6.242204,39.634823,-1.312736,1.773443,4.084261,4.610106,35.024715,0.402583,0.159381,43.113808
4,87.000000,-0.001627,0.044185,6.306368,39.891647,-1.324789,1.730475,4.008198,4.479023,35.412624,0.407042,0.157767,43.380390
4,88.000000,-0.001642,0.042553,6.370586,40.148689,-1.336843,1.690822,3.924885,4.344003,35.804688,0.411548,0.156184,43.647289
4,89.000000,-0.001657,0.040921,6.434863,40.405964,-1.348896,1.654445,3.834570,4.205258,36.200706,0.416100,0.154630,43.914307
4,90.000000,-0.001671,0.039288,6.499205,40.663502,-1.360949,1.621298,3.737537,4.063024,36.600479,0.420695,0.153106,44.181870
4,91.000000,-0.001693,0.038146,6.563616,40.921318,-1.378608,1.609455,3.697001,3.992986,36.928333,0.424464,0.151611,44.450111
4,92.000000,-0.001715,0.037003,6.627969,41.178902,-1.396267,1.598767,3.651466,3.919105,37.259796,0.428274,0.150148,44.718498
4,93.000000,-0.001737,0.035860,6.692274,41.436291,-1.413925,1.589251,3.601012,3.841476,37.594814,0.432124,0.148712,44.986488
4,94.000000,-0.001758,0.034718,6.756536,41.693512,-1.431584,1.580919,3.545734,3.760207,37.933304,0.436015,0.147305,45.254318
4,95.000000,-0.001780,0.033575,6.820763,41.950584,-1.449243,1.573779,3.485757,3.675431,38.275154,0.439944,0.145925,45.522228
4,96.000000,-0.001802,0.032432,6.884962,42.207550,-1.466901,1.567837,3.421224,3.587299,38.620251,0.443911,0.144570,45.789886
4,97.000000,-0.001823,0.031290,6.949138,42.464424,-1.484560,1.563099,3.352304,3.495982,38.968441,0.447913,0.143241,46.057766
4,98.000000,-0.001845,0.030147,7.013298,42.721233,-1.502219,1.559566,3.279192,3.401678,39.319557,0.451949,0.141937,46.325581
4,99.000000,-0.001867,0.029005,7.077446,42.978001,-1.519877,1.557238,3.202108,3.304606,39.673393,0.456016,0.140657,46.593384
4,100.000000,-0.001888,0.027862,7.141588,43.234734,-1.537536,1.556111,3.121305,3.205018,40.029716,0.460112,0.139399,46.861164
4,101.000000,-0.001922,0.027062,7.205727,43.491459,-1.564679,1.564380,3.084652,3.149491,40.341969,0.463701,0.138165,47.129486
4,102.000000,-0.001955,0.026262,7.269794,43.747898,-1.591822,1.573126,3.044956,3.091399,40.656498,0.467316,0.136953,47.398117
3,103.000000,-0.001988,0.025462,7.333794,32.437023,-1.618964,1.582361,3.002296,3.030831,29.406193,0.338002,0.135929,35.196640
3,104.000000,-0.002022,0.024662,7.379738,32.519775,-1.646107,1.584358,2.937988,2.941376,29.578400,0.339982,0.135085,35.281487
3,105.000000,-0.002055,0.023863,7.425664,32.602497,-1.673250,1.586930,2.872334,2.851153,29.751345,0.341969,0.134253,35.366623
3,106.000000,-0.002088,0.023063,7.471575,32.685192,-1.700393,1.590077,2.805479,2.760302,29.924891,0.343964,0.133430,35.451363
2,107.000000,-0.002122,0.022263,7.517470,25.900906,-1.727536,1.593796,2.737573,2.668971,23.231934,0.267034,0.132711,28.250275
1,108.000000,-0.002155,0.021463,7.552908,20.196495,-1.754679,1.593673,2.659666,2.563800,17.632696,0.202675,0.132165,22.254143
1,109.000000,-0.002188,0.020663,7.579694,20.244743,-1.781821,1.590523,2.574810,2.448650,17.796093,0.204553,0.131698,22.303993
1,110.000000,-0.002222,0.019863,7.606634,20.293266,-1.808964,1.588066,2.491203,2.335443,17.957823,0.206412,0.131230,22.353607
1,111.000000,-0.002264,0.019303,7.633721,20.342058,-1.843805,1.590140,2.439568,2.251041,18.091017,0.207943,0.130765,22.403948
1,112.000000,-0.002307,0.018744,7.660913,20.391035,-1.878647,1.592539,2.388184,2.167214,18.223820,0.209469,0.130300,22.454330
0,113.000000,-0.002350,0.018184,7.688206,0.000000,-1.913488,1.595257,2.337101,2.084008,-2.084008,-0.023954,0.130102,0.000000
0,114.000000,-0.002393,0.017624,7.685090,0.000000,-1.948329,1.585678,2.266304,1.968791,-1.968791,-0.022630,0.130157,0.000000
0,115.000000,-0.002436,0.017064,7.682144,0.000000,-1.983170,1.576529,2.197875,1.856372,-1.856372,-0.021338,0.130195,0.000000
0,116.000000,-0.002478,0.016504,7.679366,0.000000,-2.018012,1.567800,2.131791,1.746717,-1.746717,-0.020077,0.130238,0.000000
0,117.000000,-0.002521,0.015944,7.676751,0.000000,-2.052853,1.559478,2.068035,1.639798,-1.639798,-0.018848,0.130290,0.000000
0,118.000000,-0.002564,0.015384,7.674295,0.000000,-2.087694,1.551553,2.006589,1.535586,-1.535586,-0.017650,0.130328,0.000000
0,119.000000,-0.002607,0.014824,7.671995,0.000000,-2.122535,1.544013,1.947439,1.434056,-1.434056,-0.016483,0.130367,0.000000
0,120.000000,-0.002650,0.014264,7.669846,0.000000,-2.157376,1.536849,1.890568,1.335180,-1.335180,-0.015347,0.130397,0.000000
0,121.000000,-0.002693,0.013872,7.667845,0.000000,-2.192914,1.531819,1.851847,1.255891,-1.255891,-0.014436,0.130417,0.000000
0,122.000000,-0.002737,0.013480,7.665962,0.000000,-2.228451,1.526985,1.814275,1.177947,-1.177947,-0.013540,0.130475,0.000000
0,123.000000,-0.002781,0.013089,7.664196,0.000000,-2.263988,1.522343,1.777843,1.101336,-1.101336,-0.012659,0.130483,0.000000
0,124.000000,-0.002824,0.012697,7.662544,0.000000,-2.299526,1.517890,1.742544,1.026047,-1.026047,-0.011794,0.130514,0.000000
0,125.000000,-0.002868,0.012305,7.661005,0.000000,-2.335063,1.513623,1.708372,0.952070,-0.952070,-0.010943,0.130534,0.000000
0,126.000000,-0.002911,0.011913,7.659576,0.000000,-2.370601,1.509538,1.675319,0.879395,-0.879395,-0.010108,0.130567,0.000000
0,127.000000,-0.002955,0.011521,7.658256,0.000000,-2.406138,1.505632,1.643381,0.808013,-0.808013,-0.009288,0.130567,0.000000
0,128.000000,-0.002999,0.011129,7.657043,0.000000,-2.441675,1.501902,1.612550,0.737915,-0.737915,-0.008482,0.130616,0.000000
0,129.000000,-0.003042,0.010737,7.655936,0.000000,-2.477213,1.498345,1.582822,0.669092,-0.669092,-0.007691,0.130610,0.000000
0,130.000000,-0.003086,0.010345,7.654931,0.000000,-2.512750,1.494957,1.554191,0.601536,-0.601536,-0.006914,0.130647,0.000000
0,131.000000,-0.003123,0.010071,7.654028,0.000000,-2.543168,1.492584,1.534725,0.549280,-0.549280,-0.006314,0.130643,0.000000
0,132.000000,-0.003161,0.009796,7.653203,0.000000,-2.573586,1.490304,1.515807,0.497663,-0.497663,-0.005720,0.130649,0.000000
0,133.000000,-0.003198,0.009522,7.652456,0.000000,-2.604003,1.488115,1.497433,0.446683,-0.446683,-0.005134,0.130670,0.000000
0,134.000000,-0.003235,0.009248,7.651785,0.000000,-2.634421,1.486016,1.479601,0.396335,-0.396335,-0.004556,0.130667,0.000000
0,135.000000,-0.003273,0.008973,7.651190,0.000000,-2.664839,1.484007,1.462310,0.346617,-0.346617,-0.003984,0.130694,0.000000
0,136.000000,-0.003310,0.008699,7.650669,0.000000,-2.695256,1.482087,1.445557,0.297526,-0.297526,-0.003420,0.130711,0.000000
0,137.000000,-0.003348,0.008425,7.650222,0.000000,-2.725674,1.480254,1.429340,0.249059,-0.249059,-0.002863,0.130715,0.000000
0,138.000000,-0.003385,0.008150,7.649848,0.000000,-2.756092,1.478507,1.413658,0.201211,-0.201211,-0.002313,0.130722,0.000000
0,139.000000,-0.003422,0.007876,7.649546,0.000000,-2.786509,1.476846,1.398507,0.153983,-0.153983,-0.001770,0.130745,0.000000
0,140.000000,-0.003460,0.007602,7.649314,0.000000,-2.816927,1.475270,1.383889,0.107370,-0.107370,-0.001234,0.130637,0.000000
0,141.000000,-0.003488,0.007409,7.649153,0.000000,-2.840184,1.474201,1.373962,0.073117,-0.073117,-0.000840,0.130907,0.000000
0,142.000000,-0.003517,0.007217,7.649043,0.000000,-2.863441,1.473179,1.364299,0.039175,-0.039175,-0.000450,0.130954,0.000000
0,143.000000,-0.003545,0.007025,7.648984,0.000000,-2.886698,1.472204,1.354897,0.005542,-0.005542,-0.000064,0.130568,0.000000
0,144.000000,-0.003574,0.006833,7.648976,0.000000,-2.909954,1.471276,1.345758,-0.027782,0.027782,0.000319,0.130524,0.000000
0,145.000000,-0.003602,0.006641,7.649017,0.000000,-2.933211,1.470394,1.336879,-0.060799,0.060799,0.000699,0.130518,0.000000
0,146.000000,-0.003631,0.006449,7.649108,0.000000,-2.956468,1.469559,1.328261,-0.093510,0.093510,0.001075,0.130739,0.000000
0,147.000000,-0.003660,0.006257,7.649249,0.000000,-2.979725,1.468769,1.319902,-0.125915,0.125915,0.001447,0.130836,0.000000
